head,tail,relation,edge_direction,evidence_count,mean_confidence,max_confidence,edge_score,evidence
Adolphine,Sigiswald,romantic,undirected,12,0.9780326133333334,0.99501365,2.508604123145761,"Infobox field family/Spouse: Nahelache (First Wife, Former Second Wife) Adolphine (First Wife, Former) Rozemyne (Engaged, Cancelled) | With Eglantine now removed from his consideration for a first wife, Sigiswald gets engaged with Adolphine of Drewanchel. | Infobox field family/Spouse: Prince Sigiswald (Former)"
Neigunheit,Rundsein,family,undirected,5,0.9862132239999999,0.99367034,1.7670568827799287,"Seeing this magic tool as the crystallization of his mother's love, Neigunheit chose to bestow it upon his own son Rundsein, rather than have him obtain his own Grutrissheit through proper means, despite Rundsein being omni-elemental. | He passed the Grutrissheit Magic Tool to his son Rundsein who was omni-elemental. | Infobox field family/Father: Neigunheit"
Detlinde,Georgine,family,undirected,5,0.9857793280000001,0.9916517,1.7662794455132689,"She is the mother of Detlinde, Sylvester's older sister and a former archduke candidate of Ehrenfest. | She takes after her mother, Georgine, and is said to look even more like her grandmother, Veronica. | All her other children were girls, and only her youngest daughter Detlinde is still unmarried."
Florencia,Wilfried,family,undirected,5,0.983834978,0.9938158,1.762795637989275,"She is the mother of Wilfried, Charlotte, Melchior, and Henriette. | Determined to raise the next Aub, Sylvester's mother Veronica used her influence to take custody of Wilfried and raised him away from his mother, Florencia. | Wilfried (ヴィルフリート Virufuriito) is the first-born child of Sylvester and Florencia and an archduke candidate of Ehrenfest."
Bertilde,Brunhilde,family,undirected,5,0.9825328219999999,0.9895611,1.7604624876458628,"Bertilde and her sister Brunhilde are the daughters of the third Giebe Groschel and his first wife. | Infobox field family/Sister: Brunhilde | She's the second daughter of Count Groschel, and Brunhilde's younger sister; whom she will serve upon becoming Sylvester's future second wife."
Ferdinand,Veronica,enemy_rival,undirected,5,0.982276512,0.994013,1.7600032417763052,"Instead of realizing what a grave crime her grandson is committing just by talking to her and warning him away, Veronica tells him all her conspiracy theories about how Ferdinand and Myne are out to destroy the duchy and how everything bad that happened is all their fault, leading to dire consequences for the boy. | As the archduke's health worsened, so did Veronica's paranoia; she began persecuting Ferdinand more and more harshly. | Due to the abuse he suffered at the hands of Veronica, he is especially distrustful, cold, and impatient with women."
Strahl,Ferdinand,service_retainer,directed,5,0.98210082,0.99924505,1.7596884439716376,"He then served as one of Ferdinand's guard knights after his demotion by Detlinde. | After his dismissal, he becomes a guard knight to Ferdinand. | Infobox field occupation: Alexandria's Knight's Commander Rozemyne's Retainer Ferdinand's Retainer (Former) Ahrensbach Knight Commander (Former) Gieselfried's Retainer (Former) Knight"
Benno,Gustav,enemy_rival,undirected,5,0.9806328719999999,0.9923881,1.7570582342423031,"Benno interpreted his offers as insensitive, thinly veiled attempts to take over the company and developed a lasting dislike for Gustav. | He has a terrible aptitude for personal affairs though, and though he means well, tends to antagonize rather than support, especially in Benno's case. | Reaching present day, Gustav still hasn't understood the hostility directed at him from Benno and his family."
Kashick,Philine,family,undirected,5,0.973870116,0.9918643,1.7449410021412242,"Philine was born to a laynoble family as the daughter of Kashick and his previous wife, Theresia. | Still, Philine is furious at her father for letting Jonsara take the magic tool, since it is one of the few things left from her deceased mother. | Infobox field family/Father: Kashick"
Angelica,Lieseleta,family,undirected,5,0.971234316,0.9850761,1.740218282532233,"She is the older sister of Lieseleta, Bonifatius' disciple, and engaged to Eckhart. | She is the younger sister of Angelica. | Infobox field family/Sister: Lieseleta"
Albsenti,Neigunheit,family,undirected,5,0.9712309639999999,0.9909559,1.7402122765544918,She was the mother of Neigunheit. | Infobox field family/Mother: Albsenti | He was a son of Zent Albsenti.
Arthur,Hildebrand,service_retainer,directed,4,0.99598328,0.9995597,1.6029732509824681,"Arthur was an archattendant who served as then-Prince Hildebrand's Head attendant. | Originally born in Gilessenmeyer, Arthur managed to become a Sovereign Noble under the rule of Zent Trauerqual and was eventually assigned to be the head attendant of the Zent's third son, Prince Hildebrand. | Following the abdication of Trauerqual from the position of Zent and his entire family moving to the newly created duchy of Blumenfeld, it is unknown whether he moved to Blumenfeld and continued to serve Hildebrand as an archduke candidate or if he was dismissed as a retainer as his lord was exploited by Raublut."
Seltier,Georgine,service_retainer,directed,4,0.991480055,0.99921846,1.595725589939247,"Seltier is an Ahrensbach medattendent and served Georgine as an attendant. | Seltier grew up in Ehrenfest in the province of Gerlach and later became one of Lady Georgine's retainers. | Georgine chooses Seltier for this, showing how much she trusts her long-serving retainer."
Effa,Tuuli,family,undirected,4,0.9898625025000001,0.9961153,1.5931222396203946,"Tuuli (トゥーリ, Tuuri) is the oldest daughter of Gunther and Effa, as well as the older sister of Myne and Kamil. | The two would later raise three children: her oldest daughter, Tuuli, her second daughter, Myne, and her youngest son Kamil. | She resembles her mother Effa, who is well-known for being a beauty."
Leonore,Rozemyne,service_retainer,directed,4,0.989413935,0.99687564,1.5924002980796086,"Leonore (レオノーレ, Reonoore) is an archknight from Ehrenfest who serves as Rozemyne's guard knight. | Leonore was chosen as one of Rozemyne’s retainers, primarily to serve as a replacement for Angelica, who was about to graduate. | Infobox field occupation: Knight Rozemyne's Retainer Royal Academy Student (Former)"
Elvira,Previous Count Leisegang,family,undirected,4,0.989209125,0.9937808,1.592070669100763,Infobox field family/Relatives: Previous Count Leisegang (Great-Grandfather) Count Groschel (Cousin) Traugott (Nephew) | Infobox field family/Offspring: Karstedt (Grandson) Count Leisegang (Grandson) Leberecht (Grandson) Claudio (Grandson) Elvira (Granddaughter) Eckhart (Great-Grandson) Lamprecht (Great-Grandson) Cornelius (Great-Grandson) Rozemyne (Great-Granddaughter) Traugott (Great-Grandson) Nikolaus (Great-Grandson) Oliswalt (Great-Grandson) Leberecht's Middle Son (Great-Grandson) Hartmut (Great-Grandson) Leonore (Great-Granddaughter) Brunhilde (Great-Granddaughter) Bertilde (Great-Granddaughter) | Infobox field family/Grandfather: First Count Groschel Previous Count Leisegang (Deceased)
Alexis,Wilfried,service_retainer,directed,4,0.98846141,0.9989631,1.5908672682320673,"Alexis (アレクシス, Arekushisu) is an Ehrenfest archknight, who serves Wilfried as a guard knight. | After Veronica was imprisoned and her grandson Wilfried had his winter debut, Alexis was approached by Lamprecht and asked to serve as a guard knight for him, in part to increase the number of neutral and Leisegang nobles in his retinue. | Infobox field occupation: Knight Wilfried's Retainer Royal Academy Student (Former)"
Hannelore,Lestilaut,family,undirected,4,0.9876431975,0.9916435,1.5895504060141397,"Lestilaut is an archduke candidate from Dunkelfelger and is the older brother of Hannelore. | His father is Aub Dunkelfelger's younger brother. *Gulaheld - A male apprentice archattendant, the same age as Hannelore *Reginald - An adult archattendant and member of an archducal branch family. | Infobox field family/Sister: Hannelore Lungtase (Half-Sister)"
Myne,Tuuli,family,undirected,4,0.9871174,0.9974058,1.5887041675833768,"Tuuli (トゥーリ, Tuuri) is the oldest daughter of Gunther and Effa, as well as the older sister of Myne and Kamil. | Infobox field family/Sister: Tuuli (Older Sister) | Infobox field family/Sister: Myne (Legally Deceased)"
Detlinde,Letizia,family,undirected,4,0.986080845,0.99466103,1.5870358966680538,"Infobox field family/Relatives: Wilfried (Cousin) Charlotte (Cousin) Melchior (Cousin) Henriette (Cousin) Rudiger (Cousin) Rozemyne (Cousin, Adoptive) Aurelia (Cousin) Martina (Cousin) Letizia (Niece) Benedikta (Niece) Bezewanst (Granduncle, Deceased) | Infobox field family/Sister: Detlinde (Adoptive Half-Sister) Alstede (Adoptive Half-Sister) | Infobox field family/Sister: Alstede Letizia (Half-Sister, Adoptive)"
Elvira,Lamprecht,family,undirected,4,0.98531116,0.9928537,1.5857971364484218,"Lamprecht is the second son of Karstedt and Elvira, and a brother of Eckhart, Cornelius, and Rozemyne. | She is the first wife of Karstedt and the mother of Eckhart, Lamprecht, and Cornelius. | Infobox field family/Mother: Elvira"
Gunther,Tuuli,family,undirected,4,0.9848277375,0.9960871,1.585019097949198,"Tuuli (トゥーリ, Tuuri) is the oldest daughter of Gunther and Effa, as well as the older sister of Myne and Kamil. | Gunther (ギュンター, Gyuntaa) is the father of Myne, Tuuli, and Kamil, husband of Effa, and head of Myne's family. | Tuuli was born in the city of Ehrenfest as the oldest daughter of Gunther, a soldier, and Effa, a dye shop worker."
Lieseleta,Uderick,romantic,undirected,4,0.9844932875,0.99559855,1.5844808214393844,"Infobox field family/Spouse: Lieseleta (Engaged, Cancelled) | Infobox field family/Spouse: Unnamed Man (Engaged) Thorsten (Engaged, Cancelled) Uderick (Engaged, Cancelled) | Thanks to the Rozemyne Mana Compression, Lieseleta's mana has grown to a capacity of an archnoble, which also opened the gap between her and her fiancé Uderick - a fellow mednoble - beyond the point, where the two are able to sense each other's mana, forcing the families to cancel it."
Lamprecht,Siegrecht,family,undirected,4,0.984337335,0.9975695,1.5842298255733456,"He is Aurelia's husband and father of their son, Siegrecht. | Siegrecht is the child of Lamprecht and Aurelia. | Infobox field family/Father: Lamprecht"
Blasius,Letizia,family,undirected,4,0.9833845750000001,0.9923602,1.582696417507895,"Infobox field family/Relatives: Aurelia (Cousin) Martina (Cousin) Letizia (Niece) | Infobox field family/Sister: Alstede (Half-Sister) Detlinde (Half-Sister) Letizia (Half-Sister, Adoptive) Several other unnamed women | Infobox field family/Uncle: Wolfram (Deceased) Blasius"
Sylvester,Wilfried,family,undirected,4,0.9832348425,0.98972195,1.5824554323456714,"Other than the colour of his hair, he bears a strong resemblance to his father, Sylvester. | Determined to raise the next Aub, Sylvester's mother Veronica used her influence to take custody of Wilfried and raised him away from his mother, Florencia. | Wilfried (ヴィルフリート Virufuriito) is the first-born child of Sylvester and Florencia and an archduke candidate of Ehrenfest."
Eckhart,Lamprecht,family,undirected,4,0.9832140325000001,0.99450856,1.5824219399427137,"He is also the oldest child of Karstedt and Elvira and the older brother of Lamprecht, Cornelius, and Rozemyne. | Lamprecht is the second son of Karstedt and Elvira, and a brother of Eckhart, Cornelius, and Rozemyne. | Despite despising Veroncia as well, his father still didn't want this to come to pass and when he learned of Eckhart's plans intervened by keeping him busy with paperwork for the knight's order and training of new recruits, while restricting him to their estate in his free time, thus the offer went to Lamprecht who took up the position to protect their family."
Karstedt,Rozemyne,family,undirected,4,0.98234304,0.9912203,1.5810201315917678,"Infobox field family/Father: Karstedt (Baptismal) Sylvester (Adoptive) Gunther (Biological) Urano Motosu’s Father (Former) | She is baptized as the daughter of Karstedt and Elvira, and later adopted by Sylvester and Florencia as an archduke candidate of Ehrenfest. | Karstedt would take in Myne as daughter between him and Rozemary, while baptizing her as Rozemyne with him and Elvira as her parents."
Eckhart,Elvira,family,undirected,4,0.9810322324999999,0.99048257,1.5789104683053647,"He is also the oldest child of Karstedt and Elvira and the older brother of Lamprecht, Cornelius, and Rozemyne. | She is the first wife of Karstedt and the mother of Eckhart, Lamprecht, and Cornelius. | Infobox field family/Son: Eckhart Lamprecht Cornelius"
Roswitha,Sergius,family,undirected,4,0.9809977950000001,0.99071175,1.5788550432872555,"Infobox field family/Mother: Roswitha (Deceased) | When Aub Ahrensbach negotiated to have his biological granddaughter adopted as his legal daughter, to make her his successor, Roswitha and her husband, accompanied their charge to her new home in Ahrensbach and took their, son Sergius along with them. | She is the mother of Sergius."
Nahelache,Sigiswald,romantic,undirected,4,0.980754105,0.9947901,1.5784628393623745,"Infobox field family/Spouse: Nahelache (First Wife, Former Second Wife) Adolphine (First Wife, Former) Rozemyne (Engaged, Cancelled) | A short time before her husband is to marry Lady Adolphine of Drewanchel, Nahelache gives birth to her and Sigiswald's first child. | A short time before the date of his Starbinding with Adolphine, Nahelache gives birth to Sigiswald's first child."
Gloria,Jeremias,family,undirected,4,0.9806455075,0.9942583,1.578288058428679,"Infobox field family/Mother: Previous Viscountess Dahldolf (Deceased) Gloria (Stepmother, Deceased) | Following this incident, Jeremias argued that his father should lock Gloria up, since he considered her far too emotional and thus likely to doom their house in a pursuit of revenge, but once again his father ignored his warnings. | His father later married Gloria, his second wife, and the couple had a son named Shikikoza, Jeremias's half-brother."
Gudrun,Justus,family,undirected,4,0.980543165,0.9962941,1.5781233445291256,"He bears a strong resemblance to his mother, Rihyarda, and his sister, Gudrun. | She is Justus's sister and Traugott's mother. | Infobox field family/Sister: Gudrun"
Charlotte,Florencia,family,undirected,4,0.979932305,0.99201137,1.577140203285936,"She is the mother of Wilfried, Charlotte, Melchior, and Henriette. | Infobox field family/Daughter: Rozemyne (Adoptive) Charlotte Henriette | Infobox field family/Mother: Florencia"
Charlotte,Wilfried,family,undirected,4,0.9790396849999999,0.9906322,1.575703586816539,"She is the sister of Wilfried, Melchior, and Henriette and the adoptive sister of Rozemyne. | Infobox field family/Sister: Rozemyne (adoptive) Charlotte Henriette | He is the older brother of Charlotte and Melchior, and the adoptive older brother of Rozemyne."
Rihyarda,Traugott,family,undirected,4,0.9788830399999999,0.985421,1.5754514764147458,"He is the grandson of Bonifatius on his father’s side and the grandson of Rihyarda on his mother’s side. __TOC__ | She is the mother of Justus and the grandmother of Traugott. | Traugott is the son of Karstedt's younger brother and Gudrun, Rihyarda's daughter."
Hildebrand,Letizia,romantic,undirected,4,0.978614035,0.98835164,1.5750185295691115,"Despite Ahrensbach no longer existing and former Aub Ahrensbach, Gieselfried, with whom the agreement had been made, having climbed the towering staircase, the royal decree promising an engagement between now former Prince Hildebrand and Letizia still stands. | Infobox field family/Spouse: Hildebrand (Engagement promised) | To this end the engagement of Letizia and Hildebrand has already been officially announced, which is exceptionally early for such an announcement."
Kashick,Konrad,enemy_rival,undirected,4,0.9784194525,0.9968669,1.5747053611165152,"However, it soon emerges that Jonsara had physically abused both Philine and Konrad using her schtappe. | Initially Jonsara got along fine with Kashick's children and treated them well , but grew markedly cold, and worsened into physical abuse after her own son was born with more mana that Konrad. | Philine vows never to return, leaving Jonsara happy and Kashick devastated."
Hartmut,Ottilie,family,undirected,4,0.9776864449999999,0.9974712,1.5735256310559167,"Hartmut's mother is Ottilie, and his father is Leberecht. | She and her husband Leberecht have three sons, of whom Hartmut is the youngest and Oliswalt the oldest. | Infobox field family/Mother: Ottilie"
Sargerecht,Melchior,service_retainer,directed,4,0.9771210774999999,0.9987717,1.5726157071669584,"Sargerecht is an adult Ehrenfest archattendant who serves as Melchior's head attendant. | Infobox field occupation: Melchior's Head Attendant Melchior's Tutor (Former) Florencia's Retainer (Former) Attendant | Prior to his lord's baptism, he was one of Florencia's retainers and tutored Melchior."
Constanze,Georgine,family,undirected,4,0.9763586825,0.9849369,1.5713886797497085,"Infobox field family/Sister: Florencia (In-Law) Constanze | Feeling sorry for her sister, Georigne tried to pass the archduke candidate lessons on to her, but soon found that without any hope to ever become the Aub, Constanze lacked the drive to live through the brutal lessons. | Veronica's second child Constanze was born a girl and the mother didn't even make an attempt to hide her disappointment of having only another girl and neglected her almost entirely."
Bonifatius,Rozemyne,family,undirected,4,0.9760523249999999,0.9947961,1.5708956163744499,"Infobox field family/Offspring: Eckhart (Grandson) Lamprecht (Grandson) Cornelius (Grandson) Rozemyne (Granddaughter) Traugott (Grandson) Nikolaus (Grandson) Siegrecht (Great-Grandson, Lamprecht's Son) | Infobox field family/Grandfather: Bonifatius (Baptismal) Adelbert (Adoptive, Deceased) | Bonifatius (ボニファティウス, Bonifatiusu) is Rozemyne's noble grandfather and the father of Karstedt."
Hannelore,Sieglinde,family,undirected,4,0.975630365,0.98395306,1.5702164979529194,"Sieglinde is the first wife of Werdekraf, the current Aub Dunkelfelger, and mother to Lestilaut and Hannelore. | Infobox field family/Mother: Sieglinde | Infobox field family/Daughter: Hannelore"
Gloria,Viscount Dahldolf,romantic,undirected,4,0.974655605,0.98433626,1.568647682253395,"Infobox field family/Spouse: Gloria Unnamed Wife (Deceased) | Gloria married the mednoble Viscount Dahldolf as a second wife, and the couple had a son named Shikikoza. | Gloria (グローリエ, Guroorie) was the Viscountess of Dahldolf, a mednoble and first wife of Viscount Dahldolf."
Rozemyne,Sigiswald,romantic,undirected,4,0.9743432624999999,0.9951025,1.5681449863922305,"Infobox field family/Spouse: Nahelache (First Wife, Former Second Wife) Adolphine (First Wife, Former) Rozemyne (Engaged, Cancelled) | Infobox field family/Spouse: Ferdinand (Betrothed) Wilfried (Betrothed, Cancelled) Sigiswald (Betrothed, Cancelled) | Due to some of the country's magic tools starting to break from the lack of mana, with one already having been destroyed, the royal family feels they can not wait for Rozemyne to come of age and thus pressure Ehrenfest to allow them to adopt her as soon as possible, and have her marry Sigiswald as his third wife at a later date."
Karstedt,Lamprecht,family,undirected,4,0.97346424,0.9939174,1.566730254254848,"Lamprecht is the second son of Karstedt and Elvira, and a brother of Eckhart, Cornelius, and Rozemyne. | Infobox field family/Father: Karstedt | Infobox field family/Son: Eckhart Lamprecht Cornelius Nikolaus"
Eglantine,Sigiswald,family,undirected,4,0.97300917,0.99163634,1.5659978473440366,"Infobox field family/Relatives: Anastasius (Cousin) Sigiswald (Cousin) Hildebrand (Cousin) Nahelache's Son (Nephew) | Infobox field family/Sister: Trauerqual's Daughter (Deceased) Eglantine (In-Law) | After some hard work on his part, Anastasius also manages to convince King Trauerqual, Aub Klassenberg, and Eglantine's biological grandfather and adoptive father, the Previous Aub Klassenberg to agree to this arrangement, making it official."
Cornelius,Karstedt,family,undirected,4,0.9716395550000001,0.9956943,1.5637935370375984,"As one of Rozemyne's older brothers, he is the third son of Karstedt and Elvira, the younger brother of Eckhart and Lamprecht. | Infobox field family/Son: Eckhart Lamprecht Cornelius Nikolaus | Infobox field family/Father: Karstedt"
Karla,Lutz,family,undirected,4,0.9696541999999999,0.994626,1.5605982314309574,"His father Deid was a carpenter, and his mother Karla was a textile worker. | Infobox field family/Son: Zasha Sieg Ralph Lutz | Karla (カルラ Karura) is the mother of Myne's best friend Lutz."
Gunther,Myne,family,undirected,4,0.967339225,0.98812336,1.5568724228996205,"Gunther (ギュンター, Gyuntaa) is the father of Myne, Tuuli, and Kamil, husband of Effa, and head of Myne's family. | Infobox field family/Father: Gunther Urano Motosu’s Father (Former) | She was the second daughter of Gunther, a soldier, and Effa, a dye worker."
Alexis,Giebe Kirnberger,family,undirected,4,0.967240785,0.9715431,1.5567139898315203,"Alexis was born in the province of Kirnberger in Ehrenfest as the son of Giebe Kirnberger and his second wife, who was a Leisegang noble. | Infobox field family/Father: Giebe Kirnberger | When visiting the archduke's castle before his winter debut, he was introduced as Giebe Kirnberger's son, and spent his time with his father and his father's first wife rather than his own mother."
Roderick,Rozemyne,service_retainer,directed,3,0.9972656999999999,0.9988193,1.3825038164482804,"He will continue to serve as Rozemyne's retainer in Alexandria. | Infobox field occupation: Royal Academy Student Apprentice Scholar Rozemyne's Retainer | Roderick (ローデリヒ, Rooderihi) is a mednoble apprentice scholar who serves Rozemyne as a her first name-sworn retainer."
Eckhart,Ferdinand,service_retainer,directed,3,0.9968460499999999,0.99815035,1.3819220580196363,"Eckhart (エックハルト, Ekkuharuto) is an Ehrenfest archknight who serves Ferdinand as a name-sworn retainer alongside Justus. | Infobox field occupation: Knight Ferdinand's Retainer | During his time at the Royal Academy, Eckhart grew to deeply admire Ferdinand and dedicated himself to serving him as a guard knight alongside the scholar Justus."
Fran,Rozemyne,service_retainer,directed,3,0.9966457633333334,0.99880445,1.3816444017430292,"Fran is moved to Alexandria in order to serve as Rozemyne's head attendant as the High Bishop of Alexandria's Temple. | Fran (フラン, Furan) is a gray priest who formerly served as Rozemyne's head attendant in the Ehrenfest temple. | Infobox field occupation: Rozemyne's Head Attendant Ferdinand's Attendant (Former) Myne's Head Attendant (Former)"
Sargerecht,Florencia,service_retainer,directed,3,0.9964043,0.9985862,1.3813096624856118,"There he found employ as Lady Florencia's retainer. | Infobox field occupation: Melchior's Head Attendant Melchior's Tutor (Former) Florencia's Retainer (Former) Attendant | Prior to his lord's baptism, he was one of Florencia's retainers and tutored Melchior."
Detlinde,Rudiger,family,undirected,3,0.99511291,0.9973055,1.3795194158106052,"Because her mother is the older sister of Sylvester, Detlinde is also a cousin to Wilfried and his siblings (as well as Rudiger from Frenbeltag). | Infobox field family/Relatives: Wilfried (Cousin) Charlotte (Cousin) Melchior (Cousin) Henriette (Cousin) Rudiger (Cousin) Rozemyne (Cousin, Adoptive) Aurelia (Cousin) Martina (Cousin) Letizia (Niece) Benedikta (Niece) Bezewanst (Granduncle, Deceased) | Infobox field family/Relatives: Wilfried (Cousin) Charlotte (Cousin) Melchior (Cousin) Henrietta (Cousin) Detlinde (Cousin) Rozemyne (Adoptive Cousin) Bonifatius (Great Uncle) Bezewanst (Great Uncle, Deceased)"
Elusia,Hannelore,service_retainer,directed,3,0.9950990000000001,0.9989961,1.379500132456042,Elusia is an apprentice scholar from Dunkelfelger who serves Lady Hannelore at the Royal Academy. | Elusia is the retainer that delivers Hannelore's letter to Charlotte inquiring on Ehrenfest's stance on the bride-stealing ditter after Wilfried made personal comments of supporting Ortwin. | Infobox field occupation: Hannelore's Retainer Apprentice Scholar Royal Academy Student
Gil,Rozemyne,service_retainer,directed,3,0.99495674,0.99851507,1.379302918220229,"Gil was moved to Alexandria to support the creation of new workshops and will serve as an attendant to Rozemyne, the High Bishop of the Alexandria Temple. | Gil (ギル Giru) is a gray priest who served as one of Rozemyne's attendants at the Ehrenfest temple. | Infobox field occupation: Rozemyne's attendant Myne's attendant (Former)"
Lamprecht,Wilfried,service_retainer,directed,3,0.9948831933333334,0.99885213,1.3792009608909501,"Lamprecht (ランプレヒト, Ranpurehito) is an Ehrenfest archknight, who currently serves Wilfried as a retainer. | With a patient and easygoing personality, Lamprecht is dedicated to his work as Wilfried's retainer. | Lamprecht harbored uneasy thoughts after witnessing Rozemyne's blessing at her debut, but as Wilfried's retainer, he did not feel obligated to share them."
Detlinde,Wilfried,family,undirected,3,0.9946036633333334,0.99626935,1.3788134500281861,"Because her mother is the older sister of Sylvester, Detlinde is also a cousin to Wilfried and his siblings (as well as Rudiger from Frenbeltag). | Infobox field family/Relatives: Bonifatius (Granduncle) Bezewanst (Granduncle) Detlinde (Cousin) Alstede (Cousin) Rudiger (Cousin) Fifth Aub Ehrenfest (Great-Grandfather) | Infobox field family/Relatives: Wilfried (Cousin) Charlotte (Cousin) Melchior (Cousin) Henriette (Cousin) Rudiger (Cousin) Rozemyne (Cousin, Adoptive) Aurelia (Cousin) Martina (Cousin) Letizia (Niece) Benedikta (Niece) Bezewanst (Granduncle, Deceased)"
Judithe,Rozemyne,service_retainer,directed,3,0.99423672,0.9996587,1.3783047585543355,"Judithe (ユーディット, Yuuditto) is a mednoble apprentice guard knight from Kirnberger who served as a retainer to Rozemyne. | Infobox field occupation: Rozemyne's Retainer (Former) | When she is accepted as a retainer, she is thrilled and resolves to become “as strong as she can” to be useful to Rozemyne."
