head,tail,context,section,source_type,weak_label,weak_label_source,label,pair_id,candidate_id,text_basic,text_marked,llm_judge_raw_response,llm_judge_parse_status,llm_judge_model
Jonsara,Kashick,"When Theresia, the wife of Kashick, a poor layscholar, died shortly after the birth of their son Konrad, he had the choice between hiring a life-in-maid or marrying again.",History,prose,romantic,keyword:\bwife\b,romantic,Jonsara || Kashick,cand_000010,"When Theresia, the wife of Kashick, a poor layscholar, died shortly after the birth of their son Konrad, he had the choice between hiring a life-in-maid or marrying again.","section=History source=prose [HEAD] Jonsara [/HEAD] When Theresia, the wife of [TAIL] Kashick [/TAIL], a poor layscholar, died shortly after the birth of their son Konrad, he had the choice between hiring a life-in-maid or marrying again.",romantic,parsed,google/gemma-2-2b-it
Damuel,Henrik,Infobox field family/Brother: Henrik,infobox,infobox,family,infobox:family/Brother,no_relation,Damuel || Henrik,cand_000011,Infobox field family/Brother: Henrik,section=infobox source=infobox [HEAD] Damuel [/HEAD] Infobox field family/Brother: [TAIL] Henrik [/TAIL],brother,invalid_response_fallback_to_no_relation,google/gemma-2-2b-it
Liebeskhilfe,Hannelore,"Dregarnuhr appears to have some reservations, but Liebeskhilfe pushes Hannelore into Wentuchte's tapestry, before the other goddess can react.",Hannelore's Fifth Year at the Royal Academy,prose,no_relation,keyword:none,romantic,Liebeskhilfe || Hannelore,cand_000012,"Dregarnuhr appears to have some reservations, but Liebeskhilfe pushes Hannelore into Wentuchte's tapestry, before the other goddess can react.","section=Hannelore's Fifth Year at the Royal Academy source=prose Dregarnuhr appears to have some reservations, but [HEAD] Liebeskhilfe [/HEAD] pushes [TAIL] Hannelore [/TAIL] into Wentuchte's tapestry, before the other goddess can react.",romantic,parsed,google/gemma-2-2b-it
Ignaz,Rozemyne,"He is still a newcomer to Wilfried's retinue, who entered Wilfried's service after Rozemyne had spent a year in her jureve, when it still seemed that Wilfried was set to become the next Aub.",History,prose,no_relation,keyword:none,service_retainer,Ignaz || Rozemyne,cand_000013,"He is still a newcomer to Wilfried's retinue, who entered Wilfried's service after Rozemyne had spent a year in her jureve, when it still seemed that Wilfried was set to become the next Aub.","section=History source=prose [HEAD] Ignaz [/HEAD] He is still a newcomer to Wilfried's retinue, who entered Wilfried's service after [TAIL] Rozemyne [/TAIL] had spent a year in her jureve, when it still seemed that Wilfried was set to become the next Aub.",service_retainer,parsed,google/gemma-2-2b-it
Adolphine,Eglantine,"Ortwin wants to attend, but Adolphine is eager to meet Rozemyne after hearing about her from their mutual friend Eglantine, and claims the spot for herself.",Part 4 Volume 3,prose,friend_ally,keyword:\bfriend\b,romantic,Adolphine || Eglantine,cand_000014,"Ortwin wants to attend, but Adolphine is eager to meet Rozemyne after hearing about her from their mutual friend Eglantine, and claims the spot for herself.","section=Part 4 Volume 3 source=prose Ortwin wants to attend, but [HEAD] Adolphine [/HEAD] is eager to meet Rozemyne after hearing about her from their mutual friend [TAIL] Eglantine [/TAIL], and claims the spot for herself.",romantic,parsed,google/gemma-2-2b-it
Wentuchte,Hannelore,"As a reward for lending Dregarnuhr her body, Hannelore is granted a wish and she uses it to have her consciousness sent back one year into the past, to get another chance to convey her feelings to Wilfried.",Hannelore's Fifth Year at the Royal Academy,prose,no_relation,keyword:none,romantic,Wentuchte || Hannelore,cand_000015,"As a reward for lending Dregarnuhr her body, Hannelore is granted a wish and she uses it to have her consciousness sent back one year into the past, to get another chance to convey her feelings to Wilfried.","section=Hannelore's Fifth Year at the Royal Academy source=prose [HEAD] Wentuchte [/HEAD] As a reward for lending Dregarnuhr her body, [TAIL] Hannelore [/TAIL] is granted a wish and she uses it to have her consciousness sent back one year into the past, to get another chance to convey her feelings to Wilfried.",romantic,parsed,google/gemma-2-2b-it
Gretia,Wilfried,"A day after the archducal couple visited the dormitory for a meeting with Professor Hirschur, Lord Wilfried informed the students of the current state of the purge.",Part 5 Volume 1,prose,no_relation,keyword:none,no_relation,Gretia || Wilfried,cand_000016,"A day after the archducal couple visited the dormitory for a meeting with Professor Hirschur, Lord Wilfried informed the students of the current state of the purge.","section=Part 5 Volume 1 source=prose [HEAD] Gretia [/HEAD] A day after the archducal couple visited the dormitory for a meeting with Professor Hirschur, Lord [TAIL] Wilfried [/TAIL] informed the students of the current state of the purge.",no_relation,parsed,google/gemma-2-2b-it
Danilo,Mark,"Despite being a talented and dedicated smith, he has yet to reach a passing mark by Johann on his metal letter types.",Part 4 Volume 4,prose,no_relation,keyword:none,no_relation,Danilo || Mark,cand_000017,"Despite being a talented and dedicated smith, he has yet to reach a passing mark by Johann on his metal letter types.","section=Part 4 Volume 4 source=prose [HEAD] Danilo [/HEAD] Despite being a talented and dedicated smith, he has yet to reach a passing [TAIL] mark [/TAIL] by Johann on his metal letter types.",no_relation,parsed,google/gemma-2-2b-it
Eckhart,Heidemarie,"With Heidemarie being fanatically devoted to Ferdinand and the two of them having sworn they would serve him as a married couple, Eckhart made it his entire live's purpose to live for Ferdinand, for both his own and Heidemarie's sake.",History,prose,romantic,keyword:\bmarried\b,romantic,Eckhart || Heidemarie,cand_000018,"With Heidemarie being fanatically devoted to Ferdinand and the two of them having sworn they would serve him as a married couple, Eckhart made it his entire live's purpose to live for Ferdinand, for both his own and Heidemarie's sake.","section=History source=prose With [TAIL] Heidemarie [/TAIL] being fanatically devoted to Ferdinand and the two of them having sworn they would serve him as a married couple, [HEAD] Eckhart [/HEAD] made it his entire live's purpose to live for Ferdinand, for both his own and Heidemarie's sake.",romantic,parsed,google/gemma-2-2b-it
Tollkuehnheit,Aeussewahl,Ultimately Aeussewahl chose his son Heileind as his successor.,Part 5 Volume 6,prose,family,keyword:\bson\b,family,Tollkuehnheit || Aeussewahl,cand_000019,Ultimately Aeussewahl chose his son Heileind as his successor.,section=Part 5 Volume 6 source=prose [HEAD] Tollkuehnheit [/HEAD] Ultimately [TAIL] Aeussewahl [/TAIL] chose his son Heileind as his successor.,family,parsed,google/gemma-2-2b-it
Previous Count Leisegang,Adelbert,"However, Bonifatius renounced his claim to the seat of archduke and actively surrendered it to his younger brother, Adelbert, who became the Sixth Aub Ehrenfest.",History,prose,family,keyword:\bbrother\b,family,Previous Count Leisegang || Adelbert,cand_000020,"However, Bonifatius renounced his claim to the seat of archduke and actively surrendered it to his younger brother, Adelbert, who became the Sixth Aub Ehrenfest.","section=History source=prose [HEAD] Previous Count Leisegang [/HEAD] However, Bonifatius renounced his claim to the seat of archduke and actively surrendered it to his younger brother, [TAIL] Adelbert [/TAIL], who became the Sixth Aub Ehrenfest.",family,parsed,google/gemma-2-2b-it
Detlinde,Letizia,"She is also extremely cruel towards people who oppose her, such that she gleefully conspired with Lanzenavians to slaughter and abduct nobles of Letizia's faction.",Personality,prose,no_relation,keyword:none,enemy_rival,Detlinde || Letizia,cand_000021,"She is also extremely cruel towards people who oppose her, such that she gleefully conspired with Lanzenavians to slaughter and abduct nobles of Letizia's faction.","section=Personality source=prose [HEAD] Detlinde [/HEAD] She is also extremely cruel towards people who oppose her, such that she gleefully conspired with Lanzenavians to slaughter and abduct nobles of [TAIL] Letizia [/TAIL]'s faction.",enemy_rival,parsed,google/gemma-2-2b-it
Kashick,Konrad,"When Rozemyne suggests sending Konrad to the temple, Kashick admits that they don't have enough money to support a blue priest either.",Part 4 Volume 3,prose,no_relation,keyword:none,no_relation,Kashick || Konrad,cand_000022,"When Rozemyne suggests sending Konrad to the temple, Kashick admits that they don't have enough money to support a blue priest either.","section=Part 4 Volume 3 source=prose When Rozemyne suggests sending [TAIL] Konrad [/TAIL] to the temple, [HEAD] Kashick [/HEAD] admits that they don't have enough money to support a blue priest either.",no_relation,parsed,google/gemma-2-2b-it
Harland,Anastasius,Harland is a sovereign archknight who serves as Anastasius's head guard knight.,lead,prose,service_retainer,"keyword:\bguard knight\b,\bserves\b,\bhead guard knight\b",service_retainer,Harland || Anastasius,cand_000023,Harland is a sovereign archknight who serves as Anastasius's head guard knight.,section=lead source=prose [HEAD] Harland [/HEAD] is a sovereign archknight who serves as [TAIL] Anastasius [/TAIL]'s head guard knight.,service_retainer,parsed,google/gemma-2-2b-it
Trauerqual,Ralfrieda,"During the rule of his father, Trauerqual married his first wife Ralfrieda and taught the Archduke Candidate Course at the Royal Academy The prince that was chosen as the successor was the second prince.",History,prose,romantic,"keyword:\bwife\b,\bmarried\b",romantic,Trauerqual || Ralfrieda,cand_000024,"During the rule of his father, Trauerqual married his first wife Ralfrieda and taught the Archduke Candidate Course at the Royal Academy The prince that was chosen as the successor was the second prince.","section=History source=prose During the rule of his father, [HEAD] Trauerqual [/HEAD] married his first wife [TAIL] Ralfrieda [/TAIL] and taught the Archduke Candidate Course at the Royal Academy The prince that was chosen as the successor was the second prince.",romantic,parsed,google/gemma-2-2b-it
Detlinde,Veronica,"While it is not confirmed, it is strongly implied to be Detlinde, planning to take the shumils away from Rozemyne. *Both Wilfried and Charlotte remarked that Detlinde strongly resembled Veronica, but their reasons are entirely different. *Her name is a German name, usually spelled as ""Dietlinde"" or ""Dietlind"".",Trivia,prose,no_relation,keyword:none,no_relation,Detlinde || Veronica,cand_000025,"While it is not confirmed, it is strongly implied to be Detlinde, planning to take the shumils away from Rozemyne. *Both Wilfried and Charlotte remarked that Detlinde strongly resembled Veronica, but their reasons are entirely different. *Her name is a German name, usually spelled as ""Dietlinde"" or ""Dietlind"".","section=Trivia source=prose While it is not confirmed, it is strongly implied to be [HEAD] Detlinde [/HEAD], planning to take the shumils away from Rozemyne. *Both Wilfried and Charlotte remarked that Detlinde strongly resembled [TAIL] Veronica [/TAIL], but their reasons are entirely different. *Her name is a German name, usually spelled as ""Dietlinde"" or ""Dietlind"".",no_relation,parsed,google/gemma-2-2b-it
Kashick,Konrad,"Kashick married into the family of a woman named Theresia, and they had two children, Philine and Konrad.",History,prose,romantic,keyword:\bmarried\b,family,Kashick || Konrad,cand_000026,"Kashick married into the family of a woman named Theresia, and they had two children, Philine and Konrad.","section=History source=prose [HEAD] Kashick [/HEAD] married into the family of a woman named Theresia, and they had two children, Philine and [TAIL] Konrad [/TAIL].",family,parsed,google/gemma-2-2b-it
Barthold,Wilfried,Infobox field occupation: Royal Academy Student Apprentice Scholar Wilfried's Retainer,infobox,infobox,service_retainer,infobox:occupation,service_retainer,Barthold || Wilfried,cand_000027,Infobox field occupation: Royal Academy Student Apprentice Scholar Wilfried's Retainer,section=infobox source=infobox [HEAD] Barthold [/HEAD] Infobox field occupation: Royal Academy Student Apprentice Scholar [TAIL] Wilfried [/TAIL]'s Retainer,service_retainer,parsed,google/gemma-2-2b-it
Raimund,Solange,"There is nothing wrong with the circle itself, and it will fulfill the desired functions just fine, but due to its complexity, it will require far too much mana for anyone below archduke candidate levels of mana capacity to use them, which would include Professor Solange, the currently sole librarian of the Royal Academy's library, who is only a mednoble.",Part 4 Volume 6,prose,no_relation,keyword:none,no_relation,Raimund || Solange,cand_000028,"There is nothing wrong with the circle itself, and it will fulfill the desired functions just fine, but due to its complexity, it will require far too much mana for anyone below archduke candidate levels of mana capacity to use them, which would include Professor Solange, the currently sole librarian of the Royal Academy's library, who is only a mednoble.","section=Part 4 Volume 6 source=prose [HEAD] Raimund [/HEAD] There is nothing wrong with the circle itself, and it will fulfill the desired functions just fine, but due to its complexity, it will require far too much mana for anyone below archduke candidate levels of mana capacity to use them, which would include Professor [TAIL] Solange [/TAIL], the currently sole librarian of the Royal Academy's library, who is only a mednoble.",no_relation,parsed,google/gemma-2-2b-it
Leonore,Rozemyne,"Leonore (レオノーレ, Reonoore) is an archknight from Ehrenfest who serves as Rozemyne's guard knight.",lead,prose,service_retainer,"keyword:\bguard knight\b,\bserves\b",service_retainer,Leonore || Rozemyne,cand_000029,"Leonore (レオノーレ, Reonoore) is an archknight from Ehrenfest who serves as Rozemyne's guard knight.","section=lead source=prose [HEAD] Leonore [/HEAD] (レオノーレ, Reonoore) is an archknight from Ehrenfest who serves as [TAIL] Rozemyne [/TAIL]'s guard knight.",service_retainer,parsed,google/gemma-2-2b-it
Charlotte,Bezewanst,"Infobox field family/Relatives: Bonifatius (Granduncle) Bezewanst (Granduncle, Deceased) Detlinde (Cousin) Rudiger (Cousin)",infobox,infobox,family,infobox:family/Relatives,family,Charlotte || Bezewanst,cand_000030,"Infobox field family/Relatives: Bonifatius (Granduncle) Bezewanst (Granduncle, Deceased) Detlinde (Cousin) Rudiger (Cousin)","section=infobox source=infobox [HEAD] Charlotte [/HEAD] Infobox field family/Relatives: Bonifatius (Granduncle) [TAIL] Bezewanst [/TAIL] (Granduncle, Deceased) Detlinde (Cousin) Rudiger (Cousin)",family,parsed,google/gemma-2-2b-it
Charlotte,Cassandra,"Received special training by Brunhilde during her first year, to prepare her to socialize with top ranking duchies. *Kathrein - a mednoble apprentice attendant. *Cassandra - a mednoble apprentice attendant, of the former Veronica faction, who was forced to give her name to a member of the archducal family and chose Charlotte as her lady.",Attendants,prose,service_retainer,"keyword:\battendant\b,\battendants\b",romantic,Charlotte || Cassandra,cand_000031,"Received special training by Brunhilde during her first year, to prepare her to socialize with top ranking duchies. *Kathrein - a mednoble apprentice attendant. *Cassandra - a mednoble apprentice attendant, of the former Veronica faction, who was forced to give her name to a member of the archducal family and chose Charlotte as her lady.","section=Attendants source=prose Received special training by Brunhilde during her first year, to prepare her to socialize with top ranking duchies. *Kathrein - a mednoble apprentice attendant. *[TAIL] Cassandra [/TAIL] - a mednoble apprentice attendant, of the former Veronica faction, who was forced to give her name to a member of the archducal family and chose [HEAD] Charlotte [/HEAD] as her lady.",romantic,parsed,google/gemma-2-2b-it
Gundolf,Dregarnuhr,"Hannelore reports that she gained the protection of Angriff, the God of War, and Dregarnuhr, the Goddess of Time, albeit she is very confused how she could possibly have gained the attention of either.",Part 5 Volume 1,prose,no_relation,keyword:none,romantic,Gundolf || Dregarnuhr,cand_000032,"Hannelore reports that she gained the protection of Angriff, the God of War, and Dregarnuhr, the Goddess of Time, albeit she is very confused how she could possibly have gained the attention of either.","section=Part 5 Volume 1 source=prose [HEAD] Gundolf [/HEAD] Hannelore reports that she gained the protection of Angriff, the God of War, and [TAIL] Dregarnuhr [/TAIL], the Goddess of Time, albeit she is very confused how she could possibly have gained the attention of either.",romantic,parsed,google/gemma-2-2b-it
Solange,Rozemyne,"When Rozemyne invites Solange to a tea party and shows her Ehrenfest products, she seems more interested in the plant paper sample than the hair ornaments or the sweets.",Part 4 Volume 1,prose,no_relation,keyword:none,no_relation,Solange || Rozemyne,cand_000033,"When Rozemyne invites Solange to a tea party and shows her Ehrenfest products, she seems more interested in the plant paper sample than the hair ornaments or the sweets.","section=Part 4 Volume 1 source=prose When [TAIL] Rozemyne [/TAIL] invites [HEAD] Solange [/HEAD] to a tea party and shows her Ehrenfest products, she seems more interested in the plant paper sample than the hair ornaments or the sweets.",no_relation,parsed,google/gemma-2-2b-it
Damuel,Dregarnuhr,"When re-doing the acquisition ritual as an adult in the Ehrenfest Temple however, she also gained the protection of Liebeskhilfe, Dregarnuhr and Jungereise. *Mana Capacity: Thanks to the Rozemyne Mana Compression Method, Damuel's mana capacity has grown to equal that of a mednoble, a remarkable feat for a laynoble. *Mana Efficiency: Due to having grown up with a very small mana capacity, Damuel is very skilled at preserving mana and using precisely the minimum required amount for a task. *Mana Sensing: Laynobles like Damuel can sense small amounts of mana that go unnoticed by higher-ranking nobles, a skill that is well-suited for tracking and scouting.",Magical,prose,no_relation,keyword:none,no_relation,Damuel || Dregarnuhr,cand_000034,"When re-doing the acquisition ritual as an adult in the Ehrenfest Temple however, she also gained the protection of Liebeskhilfe, Dregarnuhr and Jungereise. *Mana Capacity: Thanks to the Rozemyne Mana Compression Method, Damuel's mana capacity has grown to equal that of a mednoble, a remarkable feat for a laynoble. *Mana Efficiency: Due to having grown up with a very small mana capacity, Damuel is very skilled at preserving mana and using precisely the minimum required amount for a task. *Mana Sensing: Laynobles like Damuel can sense small amounts of mana that go unnoticed by higher-ranking nobles, a skill that is well-suited for tracking and scouting.","section=Magical source=prose When re-doing the acquisition ritual as an adult in the Ehrenfest Temple however, she also gained the protection of Liebeskhilfe, [TAIL] Dregarnuhr [/TAIL] and Jungereise. *Mana Capacity: Thanks to the Rozemyne Mana Compression Method, [HEAD] Damuel [/HEAD]'s mana capacity has grown to equal that of a mednoble, a remarkable feat for a laynoble. *Mana Efficiency: Due to having grown up with a very small mana capacity, Damuel is very skilled at preserving mana and using precisely the minimum required amount for a task. *Mana Sensing: Laynobles like Damuel can sense small amounts of mana that go unnoticed by higher-ranking nobles, a skill that is well-suited for tracking and scouting.",no_relation,parsed,google/gemma-2-2b-it
Elvira,Karstedt,"Even years later, Elvira and Karstedt’s relationship remains strained as a consequence.",History,prose,no_relation,keyword:none,enemy_rival,Elvira || Karstedt,cand_000035,"Even years later, Elvira and Karstedt’s relationship remains strained as a consequence.","section=History source=prose Even years later, [HEAD] Elvira [/HEAD] and [TAIL] Karstedt [/TAIL]’s relationship remains strained as a consequence.",enemy_rival,parsed,google/gemma-2-2b-it
Rudiger,Rozemyne,"At the tea party, Rudiger carefully inquired about whether Rozemyne was already engaged with anyone, hinting that Frenbeltag might be seeking to arrange a marriage between the two for political and mana-related reasons, but Wilfried declined to give any information, telling him to leave such questions for the Archduke's Conference.",Part 4 Volume 3,prose,romantic,"keyword:\bmarriage\b,\bengaged\b",no_relation,Rudiger || Rozemyne,cand_000036,"At the tea party, Rudiger carefully inquired about whether Rozemyne was already engaged with anyone, hinting that Frenbeltag might be seeking to arrange a marriage between the two for political and mana-related reasons, but Wilfried declined to give any information, telling him to leave such questions for the Archduke's Conference.","section=Part 4 Volume 3 source=prose At the tea party, [HEAD] Rudiger [/HEAD] carefully inquired about whether [TAIL] Rozemyne [/TAIL] was already engaged with anyone, hinting that Frenbeltag might be seeking to arrange a marriage between the two for political and mana-related reasons, but Wilfried declined to give any information, telling him to leave such questions for the Archduke's Conference.",no_relation,parsed,google/gemma-2-2b-it
Trudeliede,Veronica,Infobox field occupation: Veronica's Attendant (Former),infobox,infobox,service_retainer,infobox:occupation,service_retainer,Trudeliede || Veronica,cand_000037,Infobox field occupation: Veronica's Attendant (Former),section=infobox source=infobox [HEAD] Trudeliede [/HEAD] Infobox field occupation: [TAIL] Veronica [/TAIL]'s Attendant (Former),service_retainer,parsed,google/gemma-2-2b-it
Rasantark,Rozemyne,This causes Lestilaut to ambush Rozemyne of Ehrenfest on their way from their dormitory back to the library and leads to a minor diplomatic incident that thankfully is resolved in short order.,Royal Academy Stories - First Year,prose,no_relation,keyword:none,no_relation,Rasantark || Rozemyne,cand_000038,This causes Lestilaut to ambush Rozemyne of Ehrenfest on their way from their dormitory back to the library and leads to a minor diplomatic incident that thankfully is resolved in short order.,section=Royal Academy Stories - First Year source=prose [HEAD] Rasantark [/HEAD] This causes Lestilaut to ambush [TAIL] Rozemyne [/TAIL] of Ehrenfest on their way from their dormitory back to the library and leads to a minor diplomatic incident that thankfully is resolved in short order.,no_relation,parsed,google/gemma-2-2b-it
Hugo,Ella,"He is married to her other chef, Ella.",lead,prose,romantic,keyword:\bmarried\b,romantic,Hugo || Ella,cand_000039,"He is married to her other chef, Ella.","section=lead source=prose [HEAD] Hugo [/HEAD] He is married to her other chef, [TAIL] Ella [/TAIL].",romantic,parsed,google/gemma-2-2b-it
Eckhart,Previous Count Leisegang,"Infobox field family/Relatives: Traugott (Cousin) Previous Count Leisegang (Great-Grandfather, Deceased) Siegrecht (Nephew)",infobox,infobox,family,infobox:family/Relatives,family,Eckhart || Previous Count Leisegang,cand_000040,"Infobox field family/Relatives: Traugott (Cousin) Previous Count Leisegang (Great-Grandfather, Deceased) Siegrecht (Nephew)","section=infobox source=infobox [HEAD] Eckhart [/HEAD] Infobox field family/Relatives: Traugott (Cousin) [TAIL] Previous Count Leisegang [/TAIL] (Great-Grandfather, Deceased) Siegrecht (Nephew)",family,parsed,google/gemma-2-2b-it
Count Groschel,Gabriele,Shortly after Gabriele's husband was granted a province to rule over and the two left the capital.,History,prose,romantic,keyword:\bhusband\b,romantic,Count Groschel || Gabriele,cand_000041,Shortly after Gabriele's husband was granted a province to rule over and the two left the capital.,section=History source=prose [HEAD] Count Groschel [/HEAD] Shortly after [TAIL] Gabriele [/TAIL]'s husband was granted a province to rule over and the two left the capital.,romantic,parsed,google/gemma-2-2b-it
Gieselfried,Rozemyne,"At the Archduke Conference following Rozemyne's second year at the Royal Academy, Gieselfried approaches Aub Ehrenfest about marrying Ferdinand to Detlinde, but after listing a row of counter-arguments Ehrenfest refuses.",Part 4 Volume 8,prose,no_relation,keyword:none,romantic,Gieselfried || Rozemyne,cand_000042,"At the Archduke Conference following Rozemyne's second year at the Royal Academy, Gieselfried approaches Aub Ehrenfest about marrying Ferdinand to Detlinde, but after listing a row of counter-arguments Ehrenfest refuses.","section=Part 4 Volume 8 source=prose At the Archduke Conference following [TAIL] Rozemyne [/TAIL]'s second year at the Royal Academy, [HEAD] Gieselfried [/HEAD] approaches Aub Ehrenfest about marrying Ferdinand to Detlinde, but after listing a row of counter-arguments Ehrenfest refuses.",romantic,parsed,google/gemma-2-2b-it
Shikikoza,Gloria,Shikza was born to Gloria when she was the second wife of Viscount Dahldolf.,History,prose,romantic,keyword:\bwife\b,romantic,Shikikoza || Gloria,cand_000043,Shikza was born to Gloria when she was the second wife of Viscount Dahldolf.,section=History source=prose [HEAD] Shikikoza [/HEAD] Shikza was born to [TAIL] Gloria [/TAIL] when she was the second wife of Viscount Dahldolf.,romantic,parsed,google/gemma-2-2b-it
Count Bindewald,Myne,"* Myne calls him a ""toad"" due to his outward appearance.",Trivia,prose,no_relation,keyword:none,no_relation,Count Bindewald || Myne,cand_000044,"* Myne calls him a ""toad"" due to his outward appearance.","section=Trivia source=prose [HEAD] Count Bindewald [/HEAD] * [TAIL] Myne [/TAIL] calls him a ""toad"" due to his outward appearance.",no_relation,parsed,google/gemma-2-2b-it
